Name,Type,Price,RPM
PCCOOLER PALADIN 400,타워형,29460,1600
DEEPCOOL AK620,타워형,78690,1850
PCCOOLER PALADIN 400 ARGB,타워형,33850,1600
DEEPCOOL GAMMAXX 400 XT,타워형,23170,1500
잘만 CNPS9X OPTIMA WHITE LED,타워형,27500,1500
에너맥스 LIQMAX III ARGB 360,수랭,126540,1600
NZXT KRAKEN X73,수랭,246500,2000
잘만 CNPS10X PERFORMA BLACK,타워형,47000,1500
이엠텍 레드빗 280 ARGB,수랭,72540,1300
DEEPCOOL ASSASSIN 3,타워형,97600,1400
MSI MAG 코어리퀴드 C240,수랭,67990,2000
Thermalright Assassin X 120 Refined SE ,타워형,22750,1550
NZXT KRAKEN X63,수랭,196350,1800
앱코 T360 THETIS ARGB,수랭,129000,1900
EVGA CLC 280 Liquid,수랭,87360,2200
3RSYS Socoool RC1700 ARGB,타워형,79000,1600
Thermalright Frost Commander 140 WHITE ,타워형,99610,1800
써모랩 TRINITY WHITE LED 7.0,타워형,40490,1200