name,comnum,company,display,clevel,cpu,cpu2,cpu3,os,memory,ssd,weight,glevel,graphic,price
MSI 모던시리즈 모던14 B5M-R5,1,MSI,14,3,AMD,라이젠5-4세대,5500U ,미포함(프리도스),8,512,1.3,1,Radeon Graphics,598990
MSI 모던시리즈 모던14 B11M-i5 카본 그레이,1,MSI,14,3,인텔,코어i5-11세대,i5-1155G7 ,미포함(프리도스),8,512,1.3,1,Radeon Graphics,599000
레노버 V15 G2 82KD000UKR 8GB램,1,레노버,15.6,3,AMD,라이젠5-4세대,5500U ,미포함(프리도스),8,256,1.7,1,Radeon Graphics,517990
삼성전자 노트북 플러스2 NT550XDZ-AD3A,2,삼성전자,15.6,1,인텔,코어i3-11세대,i3-1115G4 ,미포함(프리도스),8,256,1.81,1,UHD Graphics,597990
HP 파빌리온 15-eh1052AU,1,HP,15.6,1,AMD,라이젠3-4세대,5300U ,미포함(프리도스),8,256,1.75,1,Radeon Graphics,529000
MSI 모던시리즈 모던14 B11MOU-i5,1,MSI,14,3,인텔,코어i5-11세대,i5-1155G7 ,미포함(프리도스),4,256,1.3,1,Iris Xe,549000
ASUS X415EA-EB030,1,ASUS,14,3,인텔,코어i5-11세대,i5-1135G7 ,미포함(프리도스),8,256,1.55,1,Iris Xe,569000
레노버 V15 G2 82KD000WKR,1,레노버,15.6,3,AMD,라이젠5-4세대,5500U ,윈도우10,4,256,1.7,1,Radeon Graphics,599000
MSI 모던시리즈 모던14 B11MO-i3,1,MSI,14,2,인텔,코어i3-11세대,i3-1115G4 ,미포함(프리도스),8,256,1.3,1,UHD Graphics,554000
MSI 모던시리즈 모던14 B11MOU-i3,1,MSI,14,2,인텔,코어i3-11세대,i3-1115G4 ,미포함(프리도스),8,256,1.3,1,UHD Graphics,520000
ASUS X515EA-BQ042 8GB램,1,ASUS,15.6,2,인텔,코어i3-11세대,i3-1115G4 ,미포함(프리도스),8,256,1.8,1,UHD Graphics,548850
LG전자 2021 울트라PC 15UD50P-GX30K,2,LG전자,15.6,2,인텔,코어i3-11세대,i3-1115G4 ,미포함(프리도스),8,128,1.8,1,UHD Graphics,586090
레노버 아이디어패드 Slim3-15ALC R5,1,레노버,15.6,3,AMD,라이젠5-4세대,5500U ,미포함(프리도스),4,256,1.65,1,Radeon Graphics,549000
HP Nero 15s-eq3043AU,1,HP,15.6,3,AMD,라이젠5-4세대,5500U ,미포함(프리도스),8,256,1.69,1,Radeon Graphics,564000
레노버 아이디어패드 Slim3-17ITL PD,1,레노버,17.3,1,인텔,펜티엄 골드,7505,미포함(프리도스),8,256,2.1,1,UHD Graphics,559000
HP 15s-eq2244AU,1,HP,15.6,3,AMD,라이젠5-4세대,5500U ,미포함(프리도스),4,256,1.69,1,Radeon Graphics,529000
LG전자 PC그램 15Z960 코어i5,2,LG전자,15.6,0,인텔,코어i5-6세대,i5-6200U ,윈도우10,8,240,1.25,1,Radeon Graphics,560070
삼성전자 노트북 NT350XCR-AD3AW,2,삼성전자,15.6,1,인텔,코어i3-10세대,i3-10110U ,미포함(프리도스),8,256,1.81,1,UHD Graphics,590000
ASUS X515EA-BQ042 WIN10 8GB램,1,ASUS,15.6,2,인텔,코어i3-11세대,i3-1115G4 ,윈도우10,8,256,1.8,1,UHD Graphics,535990
레노버 아이디어패드 Slim3-15ITL 3D 8GB램,1,레노버,15.6,2,인텔,코어i3-11세대,i3-1115G4 ,미포함(프리도스),8,256,1.65,1,UHD Graphics,531080
레노버 아이디어패드 Slim3-15ALC R5 8GB램,1,레노버,15.6,3,AMD,라이젠5-4세대,5500U ,미포함(프리도스),8,256,1.65,1,Radeon Graphics,599000
레노버 씽크북 14 G3 ACL-21A2000GKR,1,레노버,14,3,AMD,라이젠5-4세대,5500U ,미포함(프리도스),8,256,1.4,1,Radeon Graphics,579000
삼성전자 노트북 플러스2 NT550XDA-K24A,2,삼성전자,15.6,1,인텔,펜티엄 골드,7505,윈도우10 프로,4,128,1.81,1,UHD Graphics,569050
삼성전자 노트북 플러스 NT550XCJ-K24W 8GB램,2,삼성전자,15.6,1,인텔,펜티엄 골드,6405U ,윈도우10,8,128,1.81,1,UHD Graphics,547760
ASUS D515UA-BQ022,1,ASUS,15.6,3,AMD,라이젠5-4세대,5500U ,미포함(프리도스),8,256,1.9,1,Radeon Graphics,598990
레노버 V15 G2 82KD000UKR,1,레노버,15.6,3,AMD,라이젠5-4세대,5500U ,미포함(프리도스),4,500,1.7,1,Radeon Graphics,534840
HP 255 G8-46U34PC,1,HP,15.6,3,AMD,라이젠5-4세대,5500U ,미포함(프리도스),8,256,1.74,1,Radeon Graphics,587000
삼성전자 노트북 플러스2 NT550XDA-K14A,2,삼성전자,15.6,1,인텔,셀러론,6305,윈도우11프로,4,256,1.81,1,UHD Graphics,537150
HP 파빌리온 13-bb0531TU,1,HP,13.3,2,인텔,코어i3-11세대,i3-1115G4 ,미포함(프리도스),8,256,1.25,1,UHD Graphics,569000
HP 15s-eq2242AU W11,1,HP,15.6,1,AMD,라이젠3-4세대,5300U ,윈도우11홈,4,256,1.69,1,Radeon Graphics,529000
레노버 아이디어패드 Slim3-15ITL 5D WIN10,1,레노버,15.6,3,인텔,코어i5-11세대,i5-1135G7 ,윈도우10,8,256,1.65,1,Iris Xe,615230
ASUS 비보북 15 OLED S513EA-LCP05,1,ASUS,15.6,3,인텔,코어i5-11세대,i5-1135G7 ,미포함(프리도스),8,256,1.8,1,Iris Xe,673350
레노버 아이디어패드 Slim3-15ITL 5D WIN10 16GB램,1,레노버,15.6,3,인텔,코어i5-11세대,i5-1135G7 ,윈도우10,16,256,1.65,1,Iris Xe,630720
ASUS 비보북 X513EA-BQ031,1,ASUS,15.6,3,인텔,코어i5-11세대,i5-1135G7 ,미포함(프리도스),8,256,1.8,1,Iris Xe,629980
LG전자 2020 울트라PC 15UD50N-GX50K WIN10,2,LG전자,15.6,2,인텔,코어i5-10세대,i5-10210U ,윈도우10,8,256,1.75,1,UHD Graphics,687990
DELL 인스피론 15 3511 DN3511-UB02KR 16GB램,1,DELL,15.6,3,인텔,코어i5-11세대,i5-1135G7 ,리눅스(우분투),16,256,1.73,1,Iris Xe,622270
삼성전자 노트북 NT350XCR-A78MW,2,삼성전자,15.6,3,인텔,코어i7-10세대,i7-10510U ,미포함(프리도스),8,256,1.81,1,UHD Graphics,650990
레노버 아이디어패드 Slim3-15ITL 5D 16GB램,1,레노버,15.6,3,인텔,코어i5-11세대,i5-1135G7 ,미포함(프리도스),16,256,1.65,1,Iris Xe,638990
MSI 모던시리즈 모던14 B5M-R5 16GB램,1,MSI,14,3,AMD,라이젠5-4세대,5500U ,미포함(프리도스),16,512,1.3,1,Radeon Graphics,642390
레노버 아이디어패드 Slim3-15ITL 5D,1,레노버,15.6,3,인텔,코어i5-11세대,i5-1135G7 ,미포함(프리도스),8,256,1.65,1,Iris Xe,613890
삼성전자 노트북 플러스2 NT550XDZ-AD5AW,2,삼성전자,15.6,3,인텔,코어i5-11세대,i5-1135G7 ,미포함(프리도스),8,256,1.81,1,Iris Xe,698980
HP 파빌리온 15-eg1110TU,1,HP,15.6,3,인텔,코어i5-11세대,i5-1155G7 ,미포함(프리도스),8,256,1.74,1,Iris Xe,629000
MSI 모던시리즈 모던14 B11M-i7 카본 그레이,1,MSI,14,5,인텔,코어i7-11세대,i7-1195G7 ,미포함(프리도스),8,512,1.3,1,UHD Graphics,699000
ASUS 비보북 X413EA-EB086,1,ASUS,14,3,인텔,코어i5-11세대,i5-1135G7 ,미포함(프리도스),8,256,1.4,1,Iris Xe,639000
MSI 모던시리즈 모던14 B5M-R7,1,MSI,14,4,AMD,라이젠7-4세대,5700U ,미포함(프리도스),8,512,1.3,1,Radeon Graphics,698970
MSI 모던시리즈 모던14 B5M-R5 WIN10,1,MSI,14,3,AMD,라이젠5-4세대,5500U ,윈도우10,8,512,1.3,1,Radeon Graphics,680000
MSI 모던시리즈 모던15 A11M-i5 카본 그레이,1,MSI,15.6,3,인텔,코어i5-11세대,i5-1135G7 ,미포함(프리도스),8,256,1.3,1,Iris Xe,648990
레노버 V15 G2 82KD000VKR,1,레노버,15.6,4,AMD,라이젠7-4세대,5700U ,미포함(프리도스),8,256,1.7,1,Radeon Graphics,628990
HP 14s-dq2005TU,1,HP,14,3,인텔,코어i5-11세대,i5-1135G7 ,미포함(프리도스),8,256,1.46,1,Iris Xe,624000
MSI 모던시리즈 모던14 B11MOU-i5 베이지 무스,1,MSI,14,3,인텔,코어i5-11세대,i5-1155G7 ,미포함(프리도스),8,512,1.3,1,UHD Graphics,690000
MSI 모던시리즈 모던14 B5M-R5,1,MSI,14,3,AMD,라이젠5-4세대,5500U ,미포함(프리도스),8,1000,1.3,1,Radeon Graphics,670000
ASUS 비보북 S14 S433EA-AM605,1,ASUS,14,3,인텔,코어i5-11세대,i5-1135G7 ,미포함(프리도스),8,512,1.4,1,Iris Xe,665550
MSI 모던시리즈 모던14 B11MO-i3,1,MSI,14,2,인텔,코어i3-11세대,i3-1115G4 ,미포함(프리도스),8,500,1.3,1,UHD Graphics,666160
MSI 모던시리즈 모던14 B11MO-i3 16GB램,1,MSI,14,2,인텔,코어i3-11세대,i3-1115G4 ,미포함(프리도스),16,256,1.3,1,UHD Graphics,683280
MSI 모던시리즈 모던14 B4MW-R5 오닉스 블랙,1,MSI,14,2,AMD,라이젠5-3세대,4500U ,미포함(프리도스),8,256,1.3,1,Radeon Graphics,678000
MSI 모던시리즈 모던14 A10M-i5,1,MSI,14,2,인텔,코어i5-10세대,i5-10210U ,미포함(프리도스),8,256,1.19,1,UHD Graphics,658600
MSI 모던시리즈 모던14 B10MW-i3,1,MSI,14,1,인텔,코어i3-10세대,i3-10110U ,미포함(프리도스),8,500,1.3,1,UHD Graphics,650000
MSI 모던시리즈 모던14 B10MW-i3 16GB램,1,MSI,14,1,인텔,코어i3-10세대,i3-10110U ,미포함(프리도스),16,256,1.3,1,UHD Graphics,650000
레노버 V14-ARE 82DQ0039KR,1,레노버,14,4,AMD,라이젠7-3세대,4700U ,미포함(프리도스),8,256,1.46,1,Radeon Graphics,629000
MSI 모던시리즈 모던14 A10M-i5 카본 그레이,1,MSI,14,2,인텔,코어i5-10세대,i5-10210U ,미포함(프리도스),8,256,1.18,1,UHD Graphics,658600
삼성전자 2021 갤럭시북 NT750XDZ-AM58S,2,삼성전자,15.6,3,인텔,코어i5-11세대,i5-1135G7 ,미포함(프리도스),8,256,1.55,1,Iris Xe,733490
LG전자 2022 울트라PC 15UD40Q-GX50K,2,LG전자,15.6,3,AMD,라이젠5-4세대,5500U ,미포함(프리도스),8,256,1.75,1,Radeon Graphics,708990
LG전자 2021 울트라PC 15UD50P-GX50K,2,LG전자,15.6,3,인텔,코어i5-11세대,i5-1135G7 ,미포함(프리도스),8,256,1.8,1,Iris Xe,721880
레노버 게이밍 3i 15IMH I5 LEGEND PRO,1,레노버,15.6,2,인텔,코어i5-10세대,i5-10300H ,미포함(프리도스),8,256,2.2,3,GTX1650 Ti,787000
LG전자 2021 울트라PC 15UD50P-GX50K WIN10,2,LG전자,15.6,3,인텔,코어i5-11세대,i5-1135G7 ,윈도우10,8,256,1.8,1,Iris Xe,753290
LG전자 2022 울트라PC 15UD40Q-GX50K 16GB램,2,LG전자,15.6,3,AMD,라이젠5-4세대,5500U ,미포함(프리도스),16,256,2.2,1,Radeon Graphics,751120
LG전자 2021 울트라PC 15UD50P-GX30K WIN10,2,LG전자,15.6,2,인텔,코어i3-11세대,i3-1115G4 ,윈도우10,8,500,1.8,1,UHD Graphics,713390
레노버 아이디어패드 Slim3-15ITL 5D WIN10 16GB램,1,레노버,15.6,3,인텔,코어i5-11세대,i5-1135G7 ,윈도우10,16,500,1.65,1,Iris Xe,729250
삼성전자 노트북 플러스2 NT550XDZ-AD5A WIN10 16GB램,2,삼성전자,15.6,3,인텔,코어i5-11세대,i5-1135G7 ,윈도우10,16,256,1.81,1,Iris Xe,790300
MSI 모던시리즈 모던14 B5M-R7 16GB램,1,MSI,14,4,AMD,라이젠7-4세대,5700U ,미포함(프리도스),16,512,1.3,1,Radeon Graphics,791490
MSI 모던시리즈 모던14 B5M-R5 WIN10 16GB램,1,MSI,14,3,AMD,라이젠5-4세대,5500U ,윈도우10,16,512,1.3,1,Radeon Graphics,711990
레노버 아이디어패드 Slim5 Pro 14ITL6 82L3004EKR,1,레노버,14,3,인텔,코어i5-11세대,i5-1135G7 ,미포함(프리도스),8,512,1.45,2,MX450,799000
MSI 모던시리즈 모던14 B5M-R7 WIN10,1,MSI,14,4,AMD,라이젠7-4세대,5700U ,윈도우10,8,512,1.3,1,Radeon Graphics,786590
MSI 모던시리즈 모던14 B5M-R5 16GB램,1,MSI,14,3,AMD,라이젠5-4세대,5500U ,미포함(프리도스),16,1000,1.3,1,Radeon Graphics,720000
MSI 모던시리즈 모던15 A11M-i5 카본 그레이 16GB램,1,MSI,15.6,3,인텔,코어i5-11세대,i5-1135G7 ,미포함(프리도스),16,512,1.6,1,Iris Xe,780190
MSI 모던시리즈 모던15 A11M 카본 그레이,1,MSI,15.6,4,인텔,코어i7-11세대,i7-1195G7 ,미포함(프리도스),8,512,1.6,1,Iris Xe,749000
MSI 모던시리즈 모던14 B11M-i5 카본 그레이 WIN10,1,MSI,14,3,인텔,코어i5-11세대,i5-1155G7 ,윈도우10,8,512,1.3,1,Radeon Graphics,763990
MSI 모던시리즈 모던14 B11MOU-i5 베이지 무스 16GB램,1,MSI,14,3,인텔,코어i5-11세대,i5-1155G7 ,미포함(프리도스),16,512,1.3,1,Radeon Graphics,737890
MSI 모던시리즈 모던14 B11M-i5 카본 그레이 16GB램,1,MSI,14,3,인텔,코어i5-11세대,i5-1155G7 ,미포함(프리도스),16,512,1.3,1,Radeon Graphics,750720
MSI 모던시리즈 모던14 B11MOU-i5 베이지 무스 WIN10 16GB램,1,MSI,14,3,인텔,코어i5-11세대,i5-1155G7 ,윈도우10,16,512,1.3,1,Radeon Graphics,798980
MSI 모던시리즈 모던14 B5M-R5 32GB램,1,MSI,14,3,AMD,라이젠5-4세대,5500U ,미포함(프리도스),32,512,1.3,1,Radeon Graphics,790000
MSI 모던시리즈 모던15 A11M-i5 카본 그레이,1,MSI,15.6,3,인텔,코어i5-11세대,i5-1135G7 ,미포함(프리도스),8,1000,1.6,1,Iris Xe,789590
MSI 모던시리즈 모던15 A11M-i5 카본 그레이 WIN10,1,MSI,15.6,3,인텔,코어i5-11세대,i5-1135G7 ,윈도우10,8,512,1.6,1,Iris Xe,788650
MSI 모던시리즈 모던14 B11MOU-i5 베이지 무스 WIN10,1,MSI,14,3,인텔,코어i5-11세대,i5-1155G7 ,윈도우10,8,512,1.3,1,Radeon Graphics,784890
삼성전자 노트북 플러스2 NT550XDZ-AD5A,2,삼성전자,15.6,3,인텔,코어i5-11세대,i5-1135G7 ,미포함(프리도스),8,256,1.81,1,Iris Xe,716830
레노버 아이디어패드 Slim5-15ITL Premiere i5,1,레노버,15.6,3,인텔,코어i5-11세대,i5-1135G7 ,미포함(프리도스),8,256,1.69,2,MX450,799000
MSI 모던시리즈 모던14 B11MO-i3 WIN10 16GB램,1,MSI,14,2,인텔,코어i3-11세대,i3-1115G4 ,윈도우10,16,256,1.3,1,UHD Graphics,728990
ASUS 비보북 S15 S533EQ-BQ024,1,ASUS,15.6,3,인텔,코어i5-11세대,i5-1135G7 ,미포함(프리도스),8,512,1.8,1,Iris Xe,765000
MSI 모던시리즈 모던14 B10MW-i5 카본 그레이 WIN10,1,MSI,14,2,인텔,코어i5-10세대,i5-10210U ,윈도우10,8,256,1.3,1,UHD Graphics,790000
ASUS 비보북 S15 M533IA-BN298,1,ASUS,15.6,4,AMD,라이젠7-3세대,4700U ,미포함(프리도스),8,512,1.8,1,Radeon Graphics,799000
ASUS 비보북 16X X1603ZA-MB139,1,ASUS,16,4,인텔,코어i5-12세대,i5-12500H ,미포함(프리도스),8,256,1.87,1,Iris Xe,849000
LG전자 2021 울트라PC 15U50P-GR56K,2,LG전자,15.6,3,인텔,코어i5-11세대,i5-1135G7 ,윈도우10,8,256,1.8,1,Iris Xe,864980
레노버 게이밍 3 15ACH R5 3050,1,레노버,15.6,3,AMD,라이젠5-4세대,5600H ,미포함(프리도스),8,256,2.25,4,RTX3050,850000
삼성전자 갤럭시북S NT767XCL-KC58S,2,삼성전자,13.3,2,인텔,코어i5-10세대,i5-L16G7 ,윈도우10,8,256,1,1,UHD Graphics,869990
LG전자 2021 울트라PC 15UD50P-GX50K 16GB램,2,LG전자,15.6,3,인텔,코어i5-11세대,i5-1135G7 ,미포함(프리도스),16,500,1.8,1,Iris Xe,809460
삼성전자 2021 갤럭시북 NT750XDA-KF59U,2,삼성전자,15.6,3,인텔,코어i5-11세대,i5-1135G7 ,윈도우11홈,8,256,1.55,1,Iris Xe,873080
LG전자 2022 울트라PC 15UD40Q-GX50K 16GB램,2,LG전자,15.6,3,AMD,라이젠5-4세대,5500U ,미포함(프리도스),16,512,1.75,1,Radeon Graphics,804990
LG전자 2022 울트라PC 15UD40Q-GX50K WIN10 16GB램,2,LG전자,15.6,3,AMD,라이젠5-4세대,5500U ,윈도우10,16,256,1.75,1,Radeon Graphics,802420
LG전자 2021 울트라PC 15UD50P-GX50K WIN10 16GB램,2,LG전자,15.6,3,인텔,코어i5-11세대,i5-1135G7 ,윈도우10,16,256,1.8,1,Iris Xe,808490
ASUS TUF Gaming F15 FX506LH-HN004,1,ASUS,15.6,2,인텔,코어i5-10세대,i5-10300H ,미포함(프리도스),8,512,2.3,3,GTX1650,849000
삼성전자 갤럭시북S NT767XCL-KLTE,2,삼성전자,13.3,2,인텔,코어i5-10세대,i5-L16G7 ,윈도우10,8,512,1,1,UHD Graphics,873000
레노버 아이디어패드 Slim5-15ITL Premiere Plus i5,1,레노버,15.6,3,인텔,코어i5-11세대,i5-1135G7 ,미포함(프리도스),16,256,1.69,2,MX450,849000
삼성전자 노트북 플러스2 NT550XDZ-AD5A WIN10 16GB램,2,삼성전자,15.6,3,인텔,코어i5-11세대,i5-1135G7 ,윈도우10,16,500,1.81,1,Iris Xe,882560
레노버 게이밍 3i 15IHU i5 3050,1,레노버,15.6,3,인텔,코어i5-11세대,i5-11300H,미포함(프리도스),8,256,2.2,4,RTX3050,899000
MSI GF시리즈 GF63 Thin 10SC-i5 비전,1,MSI,15.6,2,인텔,코어i5-10세대,i5-10500H ,미포함(프리도스),8,256,1.77,3,GTX1650,849130
ASUS 비보북 S14 S433EQ-AM214,1,ASUS,14,3,인텔,코어i5-11세대,i5-1135G7 ,미포함(프리도스),8,512,1.4,2,MX450,810820
MSI 모던시리즈 모던14 B5M-R7 WIN10 16GB램,1,MSI,14,4,AMD,라이젠7-4세대,5700U ,윈도우10,16,512,1.3,1,Radeon Graphics,894890
레노버 요가 Slim7-14ARE R7 Max,1,레노버,14,4,AMD,라이젠7-3세대,4800U ,윈도우10,16,512,1.39,1,Radeon Graphics,889530
MSI 모던시리즈 모던14 B5M-R7,1,MSI,14,4,AMD,라이젠7-4세대,5700U ,미포함(프리도스),8,1000,1.3,1,Radeon Graphics,875050
MSI 모던시리즈 모던14 B5M-R7 16GB램,1,MSI,14,4,AMD,라이젠7-4세대,5700U ,미포함(프리도스),16,1000,1.3,1,Radeon Graphics,892990
레노버 아이디어패드 Slim5-14ITL 5D M16,1,레노버,14,3,인텔,코어i5-11세대,i5-1135G7 ,미포함(프리도스),16,256,1.39,2,MX450,828950
MSI 모던시리즈 모던15 A11M-i5 카본 그레이 WIN10 16GB램,1,MSI,15.6,3,인텔,코어i5-11세대,i5-1135G7 ,윈도우10,16,512,1.6,1,Iris Xe,827190
MSI GF시리즈 Sword GF66 A11SC-i5 화이트,1,MSI,15.6,3,인텔,코어i5-11세대,i5-11400H ,미포함(프리도스),8,512,2.25,3,GTX1650,899000
MSI 모던시리즈 모던14 B11MOU-i5 베이지 무스 WIN10,1,MSI,14,3,인텔,코어i5-11세대,i5-1155G7 ,윈도우10,8,1000,1.3,1,Radeon Graphics,874190
MSI 프레스티지 14 EVO A11M-i5 WIN10,1,MSI,14,3,인텔,코어i5-11세대,i5-1135G7 ,윈도우10,16,512,1.29,1,Iris Xe,899000
MSI 모던시리즈 모던15 A11M-i7 카본 그레이 16GB램,1,MSI,15.6,4,인텔,코어i7-11세대,i7-1165G7 ,미포함(프리도스),16,512,1.6,1,Iris Xe,898990
MSI GF시리즈 Sword GF66 A11SC-i5 블랙,1,MSI,15.6,3,인텔,코어i5-11세대,i5-11400H ,미포함(프리도스),8,512,2.25,3,GTX1650,899000
레노버 요가 Slim7-14ARE R5 Max,1,레노버,14,2,AMD,라이젠5-3세대,4600U ,윈도우10,8,512,1.39,1,Radeon Graphics,828990
레노버 아이디어패드 Slim5-15ITL Premiere i5 WIN10,1,레노버,15.6,3,인텔,코어i5-11세대,i5-1135G7 ,윈도우10,8,256,1.69,2,MX450,889000
MSI 모던시리즈 모던14 B11MOU-i7 16GB램,1,MSI,14,4,인텔,코어i7-11세대,i7-1165G7 ,미포함(프리도스),16,512,1.3,1,Iris Xe,844950
삼성전자 2021 갤럭시북 NT750XDZ-A51A WIN10,2,삼성전자,15.6,3,인텔,코어i5-11세대,i5-1135G7 ,윈도우10,16,256,1.55,1,Iris Xe,947930
