Name,Type,Specification,Certification,Price
마이크로닉스 Classic II 풀체인지 500W 80PLUS 230V EU,ATX 파워,500,80 PLUS 스탠다드,47200
맥스엘리트 MAXWELL GAMING PRO 500W 80PLUS STANDARD 플랫,ATX 파워,500,80 PLUS 스탠다드,39500
잘만 MegaMax 500W 80PLUS STANDARD,ATX 파워,500,80 PLUS 스탠다드,41500
FSP HYPER K 500W 80PLUS Standard 230V EU,ATX 파워,500,80 PLUS 스탠다드,44500
EVGA 500 W2 80PLUS Standard 230V EU,ATX 파워,500,80 PLUS 스탠다드,40450
GIGABYTE P550B 80PLUS BRONZE 제이씨현,ATX 파워,550,80 PLUS 브론즈,34990
마이크로닉스 Classic II 풀체인지 600W 80PLUS 230V EU,ATX 파워,600,80 PLUS 스탠다드,59000
잘만 MegaMax 600W 80PLUS STANDARD,ATX 파워,600,80 PLUS 스탠다드,49500
마이크로닉스 CASLON M 600W 80PLUS 230V EU,ATX 파워,600,80 PLUS 스탠다드,49500
에너맥스 MAXPRO II EMP600AGT-C 80Plus Standard 230V EU,ATX 파워,600,80 PLUS 스탠다드,55900
앱코 XTREAM XT-650B 80PLUS STANDARD,ATX 파워,650,80 PLUS 스탠다드,59900
앱코 SUITMASTER SETTLER 600W 80PLUS Standard 230V EU,ATX 파워,600,80 PLUS 스탠다드,45000
시소닉 A12 STANDARD 230V EU SSR-600RA LLC,ATX 파워,600,80 PLUS 스탠다드,59000
마이크로닉스 Classic II SE 600W 80PLUS 230V EU,ATX 파워,600,80 PLUS 스탠다드,58990
쿨러마스터 MWE 600 BRONZE V2 230V,ATX 파워,600,80 PLUS 브론즈,54500
마이크로닉스 Classic II 풀체인지 700W 80PLUS 230V EU,ATX 파워,700,80 PLUS 스탠다드,74000
마이크로닉스 Classic II 750W 80PLUS GOLD 230V EU 풀모듈러,ATX 파워,750,80 PLUS 골드,121000
FSP HYPER K 700W 80PLUS Standard 230V EU,ATX 파워,700,80 PLUS 스탠다드,76000
시소닉 FOCUS GOLD GM-750 Modular,ATX 파워,750,80 PLUS 골드,137000
에너맥스 REVOLUTION D.F. ERF750EWT 80Plus Gold Full Modular,ATX 파워,750,80 PLUS 골드,114500
잘만 MegaMax 700W 80PLUS STANDARD,ATX 파워,700,80 PLUS 스탠다드,59000
마이크로닉스 COOLMAX EXPLORER 750W 80Plus Gold 230V EU 풀모듈러,ATX 파워,750,80 PLUS 골드,101000
EVGA 750 GQ 80PLUS GOLD,ATX 파워,750,80 PLUS 골드,113190
맥스엘리트 MAXWELL GAMING PRO 700W 80PLUS STANDARD 플랫,ATX 파워,700,80 PLUS 스탠다드,57000
마이크로닉스 Classic II 850W 80PLUS GOLD 230V EU 풀모듈러,ATX 파워,850,80 PLUS 골드,151000
마이크로닉스 Classic II 풀체인지 800W 80PLUS 230V EU,ATX 파워,800,80 PLUS 스탠다드,88000
Antec NeoECO 850W 80PLUS GOLD 풀모듈러,ATX 파워,850,80 PLUS 골드,143900
FSP HYDRO G PRO 850W 80PLUS Gold Full Modular,ATX 파워,850,80 PLUS 골드,154000
시소닉 FOCUS GOLD GM-850 Modular,ATX 파워,850,80 PLUS 골드,152000
맥스엘리트 MAXWELL BARON 800W 80PLUS BRONZE 플랫,ATX 파워,800,80 PLUS 브론즈,79000
에너맥스 REVOLUTION D.F. ERF850EWT 80Plus Gold Full Modular,ATX 파워,850,80 PLUS 골드,135000
MSI MPG A850GF 80PLUS GOLD,ATX 파워,850,80 PLUS 골드,116260
쿨러마스터 V850 SFX GOLD,M-ATX(SFX) 파워,850,80 PLUS 골드,211000
시소닉 FOCUS GOLD GX-850 Full Modular,ATX 파워,850,80 PLUS 골드,180000