Name,RamCapacity,MemoryStandard,MemoryClock,Stock,Price
삼성전자 DDR4-3200,4GB,DDR4,3200MHz (PC4-25600),184,27800
GeIL DDR4-2666 CL19 PRISTINE,4GB,DDR4,2666MHz (PC4-21300),346,21500
삼성전자 DDR4-2666,4GB,DDR4,2666MHz (PC4-21300),234,25050
ESSENCORE KLEVV DDR4-2666 CL19,4GB,DDR4,2666MHz (PC4-21300),276,21670
삼성전자 DDR4-3200,8GB,DDR4,3200MHz (PC4-25600),540,35610
마이크론 Crucial DDR4-3200 CL22,8GB,DDR4,3200MHz (PC4-25600),491,32800
삼성전자 DDR4-2666,8GB,DDR4,2666MHz (PC4-21300),499,44440
GeIL DDR4-3200 CL22 PRISTINE,8GB,DDR4,3200MHz (PC4-25600),330,36500
ESSENCORE KLEVV DDR4-2666 CL19,8GB,DDR4,2666MHz (PC4-21300),181,36530
GeIL DDR4-2666 CL19 PRISTINE,8GB,DDR4,2666MHz (PC4-21300),488,34000
TeamGroup T-Force DDR4-3200 CL20 ZEUS,8GB,DDR4,3200MHz (PC4-25600),146,35960
ADATA DDR4-3200 CL22,8GB,DDR4,3200MHz (PC4-25600),117,32780
GeIL DDR4-2400 CL17 PRISTINE,8GB,DDR4,2400MHz (PC4-19200),394,37490
타무즈 DDR4-2666 CL19,8GB,DDR4,2666MHz (PC4-21300),430,35010
타무즈 DDR4-3200 CL22,8GB,DDR4,3200MHz (PC4-25600),195,32720
타무즈 DDR4-2133 CL15,8GB,DDR4,2133MHz (PC4-17000),178,35780
타무즈 DDR4-2400 CL17,8GB,DDR4,2400MHz (PC4-19200),186,35400
TeamGroup T-Force DDR4-2666 CL19 ZEUS,8GB,DDR4,2666MHz (PC4-21300),139,34960
ESSENCORE KLEVV DDR4-3200 CL22,8GB,DDR4,3200MHz (PC4-25600),234,37400
TeamGroup DDR4-3200 Elite,8GB,DDR4,3200MHz (PC4-25600),121,33300
삼성전자 DDR4-3200,16GB,DDR4,3200MHz (PC4-25600),421,72640
삼성전자 DDR4-2666,16GB,DDR4,2666MHz (PC4-21300),352,80870
마이크론 Crucial DDR4-3200 CL22,16GB,DDR4,3200MHz (PC4-25600),566,74160
타무즈 DDR4-2666 CL19,16GB,DDR4,2666MHz (PC4-21300),169,65050
GeIL DDR4-3200 CL22 PRISTINE,16GB,DDR4,3200MHz (PC4-25600),367,71000
ESSENCORE KLEVV DDR4-3200 CL22,16GB,DDR4,3200MHz (PC4-25600),263,74260
타무즈 DDR4-3200 CL22,16GB,DDR4,3200MHz (PC4-25600),195,67070
GeIL DDR4-2666 CL19 PRISTINE,16GB,DDR4,2666MHz (PC4-21300),386,71500
TeamGroup T-Force DDR4-2666 CL19 ZEUS,16GB,DDR4,2666MHz (PC4-21300),191,70880
TeamGroup T-Force DDR4-3200 CL20 ZEUS,16GB,DDR4,3200MHz (PC4-25600),143,75000
ESSENCORE KLEVV DDR4-2666 CL19,16GB,DDR4,2666MHz (PC4-21300),316,71730
TeamGroup DDR4-3200 Elite,16GB,DDR4,3200MHz (PC4-25600),128,71080
삼성전자 DDR4-3200,32GB,DDR4,3200MHz (PC4-25600),321,157700
TeamGroup T-Force DDR4-3200 CL20 ZEUS,32GB,DDR4,3200MHz (PC4-25600),139,145990